Label,Description,Component Type,Codelist
Flow,Direction in which trade is measured,Dimension,http://gss-data.org.uk/def/concept-scheme/flow-directions
SITC Section,Standard International Trade Classification,Dimension,http://gss-data.org.uk/def/concept-scheme/sitc-sections
GBP Total,Total in British Pounds Sterling,Measure,
Net Mass,Net Mass explain me better,Measure,
Seasonal Adjustment,Whether the time-series has been adjusted to remove cyclical components,Dimension,http://gss-data.org.uk/def/concept-scheme/seasonal-adjustments
CDID,Central Database Identifier,Attribute,
Turnover,Turnover generated by the business,Dimension,http://gss-data.org.uk/def/concept-scheme/turnover-size-bands
Employment,Number of employees in the business,Dimension,http://gss-data.org.uk/def/concept-scheme/employment-size-bands
Country of Ownership,Country of Ownership,Dimension,http://gss-data.org.uk/def/concept-scheme/countries-of-ownership
Geography Not Feature,Temporary example dimension for non-feature geography ,Dimension,
Commodity Feature,Temporary example dimension for commodities as features,Dimension,
Product,Good or service being traded,Dimension,
Price Classification,Methodology for handling prices,Dimension,http://gss-data.org.uk/def/concept-scheme/price-classification
