Dataset Codes,Codelist Codes,Result
C,----,NOT FOUND
europe,----,NOT FOUND
non-eu,----,NOT FOUND
FR,----,NOT FOUND
NL,----,NOT FOUND
DE,----,NOT FOUND
IT,----,NOT FOUND
IE,----,NOT FOUND
DK,----,NOT FOUND
GR,----,NOT FOUND
PT,----,NOT FOUND
ES,----,NOT FOUND
BE,----,NOT FOUND
LU,----,NOT FOUND
SE,----,NOT FOUND
FI,----,NOT FOUND
AT,----,NOT FOUND
MT,----,NOT FOUND
EE,----,NOT FOUND
LV,----,NOT FOUND
LT,----,NOT FOUND
PL,----,NOT FOUND
CZ,----,NOT FOUND
SK,----,NOT FOUND
HU,----,NOT FOUND
RO,----,NOT FOUND
BG,----,NOT FOUND
SI,----,NOT FOUND
HR,----,NOT FOUND
CY,----,NOT FOUND
below-threshold-traders,----,NOT FOUND
IS,----,NOT FOUND
NO,----,NOT FOUND
CH,----,NOT FOUND
GI,----,NOT FOUND
TR,----,NOT FOUND
UA,----,NOT FOUND
RU,----,NOT FOUND
GE,----,NOT FOUND
AZ,----,NOT FOUND
KZ,----,NOT FOUND
MK,----,NOT FOUND
XS,----,NOT FOUND
MA,----,NOT FOUND
DZ,----,NOT FOUND
EG,----,NOT FOUND
SN,----,NOT FOUND
CI,----,NOT FOUND
GH,----,NOT FOUND
NG,----,NOT FOUND
GQ,----,NOT FOUND
AO,----,NOT FOUND
ET,----,NOT FOUND
KE,----,NOT FOUND
TZ,----,NOT FOUND
MU,----,NOT FOUND
ZA,----,NOT FOUND
US,----,NOT FOUND
CA,----,NOT FOUND
MX,----,NOT FOUND
GT,----,NOT FOUND
CR,----,NOT FOUND
PA,----,NOT FOUND
DO,----,NOT FOUND
TT,----,NOT FOUND
CO,----,NOT FOUND
EC,----,NOT FOUND
PE,----,NOT FOUND
BR,----,NOT FOUND
CL,----,NOT FOUND
UY,----,NOT FOUND
AR,----,NOT FOUND
FK,----,NOT FOUND
LB,----,NOT FOUND
IQ,----,NOT FOUND
IL,----,NOT FOUND
JO,----,NOT FOUND
SA,----,NOT FOUND
KW,----,NOT FOUND
BH,----,NOT FOUND
QA,----,NOT FOUND
AE,----,NOT FOUND
OM,----,NOT FOUND
PK,----,NOT FOUND
IN,----,NOT FOUND
BD,----,NOT FOUND
LK,----,NOT FOUND
TH,----,NOT FOUND
VN,----,NOT FOUND
ID,----,NOT FOUND
MY,----,NOT FOUND
SG,----,NOT FOUND
CN,----,NOT FOUND
KR,----,NOT FOUND
JP,----,NOT FOUND
TW,----,NOT FOUND
HK,----,NOT FOUND
AU,----,NOT FOUND
NZ,----,NOT FOUND
other-asia-and-oceania,----,NOT FOUND
other-eastern-europe,----,NOT FOUND
other-latin-america-and-caribbean,----,NOT FOUND
other-middle-east-and-north-africa,----,NOT FOUND
other-sub-saharan-africa,----,NOT FOUND
CM,----,NOT FOUND
CD,----,NOT FOUND
VE,----,NOT FOUND
other-western-europe,----,NOT FOUND
HN,----,NOT FOUND
,----NANANANANA----,ITS A NAN
other-north-america,----,NOT FOUND
